método;cenário;tamanho;trocas;tempo
selection;Ordenados;15000;0;158,677000
selection;Ordenados;2000000;0;3624027,244000
selection;Ordenados;200000;0;30862,347000
selection;Ordenados;2000;0;2,803000
selection;Ordenados;200;0;0,031000
selection;Ordenados;30000;0;628,385000
selection;Ordenados;500000;0;219714,450000
selection;Ordenados;50000;0;2207,272000
selection;Ordenados;5000;0;22,205000
selection;Ordenados;500;0;0,234000
selection;Ordenados;750000;0;406344,050000
selection;Ordenados;75000;0;3941,924000
selection;Ordenados;7500;0;39,638000
selection;Decrescentes;1000000;750863;957461,794000
selection;Decrescentes;100000;73653;10169,832000
selection;Decrescentes;10000;6599;87,369000
selection;Decrescentes;1000;543;0,757000
selection;Decrescentes;100;50;0,010000
selection;Decrescentes;1250000;937928;1387109,575000
selection;Decrescentes;1500000;1122889;2082929,712000
selection;Decrescentes;15000;10168;248,213000
selection;Decrescentes;2000000;1487419;3569111,359000
selection;Decrescentes;200000;148452;40886,562000
selection;Decrescentes;2000;1153;3,889000
selection;Decrescentes;200;102;0,034000
selection;Decrescentes;30000;21197;814,273000
selection;Decrescentes;500000;374968;230505,372000
selection;Decrescentes;50000;36245;2185,043000
selection;Decrescentes;5000;3080;20,104000
selection;Decrescentes;500;261;0,206000
selection;Decrescentes;750000;563761;553308,815000
selection;Decrescentes;75000;54624;5637,655000
selection;Decrescentes;7500;4838;53,556000
selection;ParcialmenteOrdenados;1000000;2654;875865,120000
selection;ParcialmenteOrdenados;100000;287;8660,754000
selection;ParcialmenteOrdenados;10000;50;86,897000
selection;ParcialmenteOrdenados;1000;27;0,879000
selection;ParcialmenteOrdenados;100;26;0,014000
selection;ParcialmenteOrdenados;1250000;2967;1551613,816000
selection;ParcialmenteOrdenados;1500000;3900;1968687,382000
selection;ParcialmenteOrdenados;15000;57;197,864000
selection;ParcialmenteOrdenados;2000000;5641;3797275,569000
selection;ParcialmenteOrdenados;200000;497;34687,914000
selection;ParcialmenteOrdenados;2000;30;3,557000
selection;ParcialmenteOrdenados;200;25;0,031000
selection;ParcialmenteOrdenados;30000;106;622,239000
selection;ParcialmenteOrdenados;500000;1474;247054,535000
selection;ParcialmenteOrdenados;50000;161;1712,393000
selection;ParcialmenteOrdenados;5000;35;17,161000
selection;ParcialmenteOrdenados;500;28;0,264000
selection;ParcialmenteOrdenados;750000;1750;556724,116000
selection;ParcialmenteOrdenados;75000;270;3849,983000
selection;ParcialmenteOrdenados;7500;39;40,088000
